acc,bal_acc,macro_f1,f1_bcg,f1_nonbcg,auc,TN,FP,FN,TP,model,fold,test_patient,n_test
0.6292802236198463,0.7009936766034327,0.44337315739768535,0.7650575730735164,0.1216887417218543,0.7456273927818643,147,42,2080,3455,cnn,1,0010,5724
0.7626038246088468,0.6483162571150909,0.5491876740578249,0.8593660601899531,0.2390092879256966,0.7290023601277246,193,182,1047,3755,cnn,2,0006,5177
0.7664052827073875,0.7332712985938792,0.43987838732509704,0.8675403697636321,0.012216404886561954,0.8394127377998346,7,3,1129,3707,cnn,3,0008,4846
0.8264248704663213,0.6000188062383756,0.6162370262895395,0.9002481389578164,0.33222591362126247,0.7332817123589235,200,561,243,3628,cnn,4,0002,4632
0.6626396170503761,0.5849292975294474,0.5860529167994899,0.7641058335989799,0.408,0.6663454631638897,510,771,709,2397,cnn,5,0009,4387
0.7767772511848341,0.7548260824930928,0.698326576256616,0.852165725047081,0.5444874274661509,0.839033689961302,563,219,723,2715,cnn,6,0007,4220
0.7787769784172662,0.6781124863487441,0.6681724447463548,0.8597491448118586,0.4765957446808511,0.7810907353476519,168,160,209,1131,cnn,7,0003,1668
0.8278688524590164,0.7330532212885155,0.5287114433717919,0.9041970802919708,0.1532258064516129,0.822829131652661,19,11,199,991,cnn,8,0004,1220
0.8969534050179212,0.5293200074724453,0.5337007822519992,0.9452641599238458,0.12213740458015267,0.6735755651036801,8,98,17,993,cnn,9,0001,1116
0.6997907949790795,0.6713727966418241,0.6677206873458177,0.770949720670391,0.5644916540212443,0.7941116308852564,186,232,55,483,cnn,10,0005,956
0.7961215932914046,0.6262872628726287,0.5052233358553958,0.8846039750815782,0.1258426966292135,0.7157401432920856,84,105,1062,4473,resnet,1,0010,5724
0.8756036314467839,0.5912242121338331,0.5819140430236326,0.932324506094998,0.2315035799522673,0.7397240038872692,97,278,366,4436,resnet,2,0006,5177
0.8631861328931077,0.5821753515301903,0.4677448612887146,0.9265211127119584,0.008968609865470852,0.7352564102564102,3,7,656,4180,resnet,3,0008,4846
0.8044041450777202,0.5852603221298167,0.5946574971989337,0.8862380713209442,0.3030769230769231,0.736704685367219,197,564,342,3529,resnet,4,0002,4632
0.6763163893321176,0.5432155687689662,0.5388854148531608,0.7906222353288116,0.28714859437751006,0.6735451466854463,286,995,425,2681,resnet,5,0009,4387
0.7772511848341233,0.7323951205795316,0.6892168559350743,0.8546241880606248,0.5238095238095238,0.8211321784954972,517,265,675,2763,resnet,6,0007,4220
0.8033573141486811,0.6243356388787769,0.6397901567503792,0.8825214899713467,0.39705882352941174,0.7593033309064433,108,220,108,1232,resnet,7,0003,1668
0.8016393442622951,0.638375350140056,0.4960914831882574,0.8884792626728111,0.1037037037037037,0.7645938375350141,14,16,226,964,resnet,8,0004,1220
0.8888888888888888,0.512198767046516,0.5077614785936855,0.9408960915157293,0.07462686567164178,0.4111152624696432,5,101,23,987,resnet,9,0001,1116
0.6338912133891214,0.5928122943384144,0.5634589291305709,0.7388059701492538,0.3881118881118881,0.7657503423987478,111,307,43,495,resnet,10,0005,956
