condition,gate,beta,n_subjects,mean_mae_bpm,median_mae_bpm,sd_mae_bpm,mean_rmse_bpm,mean_coverage,total_paired_windows
ungated,OFF,,46,13.907373569316924,11.358029572776701,9.18034309689795,18.397173280516878,0.9992286067499154,54350
beta0.30,ON,0.3,46,14.649518115260484,12.259581801390734,9.288097390766886,19.33278953453002,0.998707691598611,54321
beta0.50,ON,0.5,46,14.631902061384423,12.27719430753427,9.294875671932907,19.30515882854572,0.9916927017596165,53954
beta0.70,ON,0.7,46,14.20205553695914,11.507727284282169,9.17199674426627,18.771941709103242,0.658109996337469,36038
beta0.90,ON,0.9,46,12.110330405933109,9.167978225969033,10.17820336043956,15.280888397333754,0.03339271092865335,1870
