metric,mean,sd,naive_lo,naive_hi,corrected_lo,corrected_hi,width_vs_naive
Accuracy,0.7533205521495276,0.07207580050452307,0.7017606305039792,0.8048804737950761,0.6777255663819931,0.8289155379170622,1.4661578868799776
Precision (BCG),0.8855034106674887,0.11470623041622222,0.8034475165793544,0.967559304755623,0.7651965143851824,1.005810306949795,1.4661578868799776
Recall (BCG),0.8262065464263412,0.09688381110616179,0.7569000430730785,0.8955130497796039,0.7245922699228815,0.9278208229298008,1.4661578868799776
F1 (BCG),0.8453037035162565,0.056686646104714966,0.8047525197479316,0.8858548872845814,0.7858492656120076,0.9047581414205054,1.4661578868799776
Balanced accuracy,0.6307915189341218,0.06371153894677048,0.5852150295574045,0.6763680083108391,0.5639691895781461,0.6976138482900974,1.4661578868799776
Macro-F1,0.5564990743080086,0.08140681826685806,0.49826414466627394,0.6147340039497433,0.4711174729218787,0.6418806756941384,1.4661578868799776
F1 (Non-BCG),0.2676944450997609,0.17674550329184588,0.1412583287175541,0.3941305614819678,0.08231913587951362,0.45306975432000823,1.4661578868799776
